sn,amusing_name,ra,dec,z,ST,STerr,COL,COLerr,Bmag,Bmagerr
SN2012fr,NGC1365,03:33:35.99,-36:07:37.7,0.0054,1.077,0.004,0.01,0.014,12.007,0.011
SN2006mr,NGC1316_1,03:22:42.84,-37:12:28.5,0.005508,0.5,0.004,0.695,0.016,15.327,0.018
SN2006dd,NGC1316_1,03:22:41.64,-37:12:13.2,0.005871,0.972,0.009,-0.049,0.014,12.242,0.016
SN2001A,NGC4261,12:19:23.01,+05:49:40.5,0.007469,nan,nan,nan,nan,nan,nan
SN2009Y,NGC5728_1,14:42:23.68,-17:14:48.4,0.009316,1.018,0.014,0.167,0.015,13.981,0.044
SN1999ee,IC5179,22:16:09.40,-36:50:31.5,0.01141,1.063,0.004,0.252,0.002,14.847,0.009
SN2017dps,IC4296,13:36:40.04,-33:58:01.29,0.012465,nan,nan,nan,nan,nan,nan
SN2008ee,NGC0307,00:56:32.96,-01:46:16.0,0.0134,nan,nan,nan,nan,nan,nan
SN2017cze,2MIG_1546,11:09:46.82,-13:22:50.66,0.01486,nan,nan,nan,nan,nan,nan
SN2000ey,IC1481,23:19:25.09,+05:54:21.9,0.02041,nan,nan,nan,nan,nan,nan
PS1-14xw,NGC6240,16:52:57.63,+02:23:36.5,0.02448,nan,nan,nan,nan,nan,nan
SN2016aew,IC986,14:11:26.49,+01:17:09.47,0.025001,nan,nan,nan,nan,nan,nan
iPTF14ans,PTF14ans,15:04:29.97,+02:19:51.25,0.03197,nan,nan,nan,nan,nan,nan
SN2007nq,3C029,00:57:33.60,-01:23:19.5,0.043904,0.766,0.011,-0.006,0.025,17.388,0.018
SN2010jo,3C029,00:57:35.61,-01:23:33.3,0.045,nan,nan,nan,nan,nan,nan
SN2012fq,CANDELSCDFS16,03:32:32.9,-27:51:21.13,0.67,nan,nan,nan,nan,nan,nan
iPTF13ebh,NaN,02:21:59.98,+33:16:13.70,0.01327,0.74,0.003,0.121,0.012,15.072,0.029
SN2012fm,NaN,06:56:13.39,+84:04:50.20,0.014,nan,nan,nan,nan,nan,nan
SN2011hk,NaN,02:18:45.80,-06:38:30.45,0.018,nan,nan,nan,nan,nan,nan
PS1-12bwh,NaN,07:09:24.29,+39:06:15.80,0.025,nan,nan,nan,nan,nan,nan
SNHunt263,NaN,09:08:42.48,+44:48:13.20,0.0268,nan,nan,nan,nan,nan,nan
SN2013fn,NaN,21:00:23.67,-14:29:52.42,0.027,nan,nan,nan,nan,nan,nan
SNHunt206,NaN,01:58:42.76,+08:20:39.51,0.027,nan,nan,nan,nan,nan,nan
PSNJ08593491+4555343,NaN,08:59:34.91,+45:55:34.30,0.028,nan,nan,nan,nan,nan,nan
SN2011hb,NaN,23:27:55.51,+08:46:45.45,0.029,nan,nan,nan,nan,nan,nan
iPTF13dkj,NaN,23:08:50.74,+20:04:08.59,0.03,nan,nan,nan,nan,nan,nan
SN2013fj,NaN,22:15:28.48,+15:34:03.19,0.03357,nan,nan,nan,nan,nan,nan
LSQ12gef,NaN,01:40:33.75,+18:30:36.74,0.065,nan,nan,nan,nan,nan,nan
SN2013be,NaN,12:36:27.64,+11:45:27.96,0.06585,nan,nan,nan,nan,nan,nan
iPTF14gdr,NaN,00:27:58.35,-05:12:59.50,0.07,nan,nan,nan,nan,nan,nan
ASASSN-15ja,ASASSN15ja,01:09:39.033,-61:19:58.33,0.026321,nan,nan,nan,nan,nan,nan
SN2010ae,SN2010ae,07:15:54.65,-57:20:36.9,0.003662,0.428,0.005,0.521,0.018,17.171,0.053
SN2008ge,SN2008ge,04:08:24.68,-47:53:47.4,0.003916,nan,nan,nan,nan,nan,nan
SN2008ha,SN2008ha,23:34:52.69,+18:13:35.4,0.004623,0.584,0.007,0.594,0.016,18.12,0.035
SN2010el,SN2010el,04:19:58.83,-54:56:38.5,0.005,nan,nan,nan,nan,nan,nan
SN2012Z,SN2012Z,03:22:05.3964,-15:23:14.939,0.007125,0.901,0.004,0.253,0.009,14.591,0.016
SN2002fk,SN2012Z,03:22:05.71,-15:24:03.2,0.007132,1.01,0.006,-0.125,0.009,13.163,0.018
SN2013gr,SN2013gr,01:46:27.90,-58:40:23.8,0.0074,nan,nan,nan,nan,nan,nan
SN2004do,SN2011ce,18:55:33.72,-53:43:22.8,0.0086,nan,nan,nan,nan,nan,nan
SN2011ce,SN2011ce,18:55:35.84,-53:43:29.1,0.0086,nan,nan,nan,nan,nan,nan
SN2005hk,SN2005hk,00:27:50.87,-01:11:52.51,0.01306,0.867,0.005,0.182,0.014,15.847,0.014
SN2004cs,SN2004cs,17:50:14.38,+14:16:59.5,0.014,nan,nan,nan,nan,nan,nan
SN2009J,SN2009J,05:55:21.13,-76:55:20.8,0.0158,0.926,0.052,-0.53,0.062,16.992,0.092
SN2009iw,SN2009J,05:55:25.63,-76:55:15.9,0.0159,nan,nan,nan,nan,nan,nan
SN1991bj,SN1991bj,03:41:30.47,-04:39:49.5,0.01815,nan,nan,nan,nan,nan,nan
SN2002cx,SN2002cx,13:13:49.72,+06:57:31.9,0.02396,0.606,0.006,0.168,0.016,17.476,0.023
SN2008ae,SN2008ae,09:56:03.20,+10:29:58.8,0.03006,0.704,0.01,0.495,0.022,18.564,0.02
SN2014dt,SN2014dt,12:21:57.57,+04:28:18.5,0.0052,nan,nan,nan,nan,nan,nan
SN2012bm,NaN,13:05:45.62,+46:27:52.39,0.0248,nan,nan,nan,nan,nan,nan
SN2005cc,NaN,13:57:04.85,+41:50:41.8,0.0074,0.724,0.012,0.563,0.012,16.73,0.015
SN2002ci,NaN,16:15:37.95,+31:19:17.4,0.02223,nan,nan,nan,nan,nan,nan
SN2012hj,NaN,11:07:19.19,+46:22:46.2,0.024597,nan,nan,nan,nan,nan,nan
SN2007sw,NaN,12:13:36.88,+46:29:36.1,0.0252,1.046,0.016,0.117,0.017,16.271,0.026
SN2017ckx,NaN,07:48:11.01,+28:13:49.04,0.027675,nan,nan,nan,nan,nan,nan
PTF11bui,NaN,13:12:56.40,+47:27:12.5,0.02846,nan,nan,nan,nan,nan,nan
SN2017frb,NaN,21:11:36.85,+11:29:50.82,0.029378,nan,nan,nan,nan,nan,nan
iPTF13f,NaN,16:29:26.18,+38:25:11.15,0.03,nan,nan,nan,nan,nan,nan
ASASSN-15ns,NaN,16:40:28.02,+39:19:12.8,0.030671,nan,nan,nan,nan,nan,nan
SN1988B,NaN,10:19:07.2,+46:28:06.0,0.031,nan,nan,nan,nan,nan,nan
SN2017fel,NaN,21:29:13.38,-00:17:40.93,0.031,nan,nan,nan,nan,nan,nan
SN2004ct,NaN,15:43:45.75,+28:24:59.5,0.033,nan,nan,nan,nan,nan,nan
ASASSN-15pn,NaN,04:03:26.32,-05:29:31.3,0.038393,nan,nan,nan,nan,nan,nan
SN2017boa,NaN,14:30:31.63,+52:42:15.57,0.045,nan,nan,nan,nan,nan,nan
PTF11mty,NaN,21:34:05.20,+10:25:24.6,0.077,nan,nan,nan,nan,nan,nan
SN2006iq,NaN,21:39:33.75,+10:29:05.5,0.07885,nan,nan,nan,nan,nan,nan
PTF12izc,NaN,23:43:34.37,+00:34:07.2,0.08,nan,nan,nan,nan,nan,nan
SN2008ar,SN2008ar,12:24:37.92,+10:50:17.4,0.026147,1.015,0.009,-0.161,0.103,16.201,0.021
SN2006D,SN2006D,12:52:33.87,-09:46:30.8,0.008529,0.818,0.006,0.088,0.013,14.142,0.022
SN2007al,SN2007al,09:59:18.48,-19:28:25.8,0.012122,0.664,0.043,0.846,0.018,17.45,0.037
SN2007S,SN2007S,10:00:31.26,+04:24:26.2,0.01388,1.115,0.008,0.376,0.017,15.819,0.013
SN2004ey,SN2004ey,21:49:07.81,+00:26:39.2,0.014627,1.006,0.005,-0.089,0.018,14.713,0.055
SN2008bc,SN2008bc,09:38:31.23,-63:58:25.6,0.015707,1.038,0.006,-0.065,0.013,14.599,0.107
SN2006ef,SN2006ef,02:04:19.51,-08:43:42.2,0.017006,0.849,0.011,-0.108,0.037,15.52,0.017
SN2013bz,SN2013bz,13:26:51.32,-10:01:32.2,0.019163,nan,nan,nan,nan,nan,nan
SN2008ff,SN2008ff,20:13:59.96,-44:21:07.8,0.0192,nan,nan,nan,nan,nan,nan
SN2006ej,SN2006ej,00:38:59.77,-09:00:56.6,0.019333,0.841,0.011,-0.047,0.025,15.721,0.022
SN2014cd,SN2014cd,04:23:47.19,-51:36:02.9,0.020608,1.202,0.061,0.136,0.085,15.485,0.143
